Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold,,p < 0.05:,up,down,,,,,,
Pard3,1.73E-19,-0.871464892,0.1,0.403,5.57E-15,-1.829519626,,,,,,,,,,
Mir99ahg,2.62E-26,-0.873425501,0.068,0.427,8.45E-22,-1.832007616,,,,,,,,,,
Pam,3.17E-17,-0.878647508,0.097,0.361,1.02E-12,-1.838650802,,,,,,,,,,
Fhit,1.73E-27,-0.880344409,0.229,0.679,5.58E-23,-1.840814699,,,,,,,,,,
Dnm3,1.69E-14,-0.881568063,0.177,0.445,5.46E-10,-1.84237669,,,,,,,,,,
Slc8a1,1.50E-16,-0.891407282,0.035,0.264,4.84E-12,-1.854984693,,,,,,,,,,
Gphn,1.48E-29,-0.907008926,0.674,0.925,4.76E-25,-1.875153795,,,,,,,,,,
Phldb2,7.28E-29,-0.914844368,0.006,0.339,2.35E-24,-1.885365675,,,,,,,,,,
Igf1r,1.06E-16,-0.916612268,0.065,0.313,3.42E-12,-1.887677446,,,,,,,,,,
Erbb4,6.05E-30,-0.936056223,0.039,0.41,1.95E-25,-1.913290877,,,,,,,,,,
Srsf2,4.71E-28,-0.938245389,0.003,0.324,1.52E-23,-1.916196336,,,,,,,,,,
Bnc2,4.94E-29,-0.96221249,0.01,0.348,1.59E-24,-1.948295475,,,,,,,,,,
Bicc1,1.55E-29,-0.969216698,0.01,0.352,5.01E-25,-1.957777344,,,,,,,,,,
Chpt1,8.07E-19,-0.974768449,0.21,0.522,2.60E-14,-1.965325739,,,,,,,,,,
Dpyd,2.17E-32,-0.988406117,0.016,0.39,7.00E-28,-1.983991874,,,,,,,,,,
Ifi213,1.34E-15,-1.028623405,0.039,0.262,4.31E-11,-2.040076715,,,,,,,,,,
Cdk8,1.05E-27,-1.066956181,0.445,0.835,3.39E-23,-2.095008621,,,,,,,,,,
AY036118,3.35E-23,-1.078410828,0.403,0.723,1.08E-18,-2.111708689,,,,,,,,,,
Slc4a4,4.51E-21,-1.078561067,0.132,0.462,1.45E-16,-2.111928608,,,,,,,,,,
Fgf13,1.71E-10,-1.081201071,0.184,0.401,5.50E-06,-2.115796789,,,,,,,,,,
Nhs,4.83E-24,-1.097768093,0.013,0.304,1.56E-19,-2.140233335,,,,,,,,,,
Lrp2,2.02E-21,-1.12193295,0.026,0.302,6.51E-17,-2.176383733,,,,,,,,,,
Rbm47,1.06E-25,-1.137727391,0.123,0.489,3.41E-21,-2.200341407,,,,,,,,,,
Tanc2,2.03E-32,-1.143093888,0.11,0.544,6.54E-28,-2.208541418,,,,,,,,,,
Gm42418,6.87E-83,-1.166924107,0.994,1,2.22E-78,-2.245324726,,,,,,,,,,
Cmss1,1.09E-57,-1.177972411,0.9,0.998,3.51E-53,-2.262585657,,,,,,,,,,
Ptprk,1.19E-39,-1.213961429,0.039,0.495,3.84E-35,-2.319737289,,,,,,,,,,
Gk,1.10E-30,-1.233874253,0.016,0.377,3.56E-26,-2.351977491,,,,,,,,,,
Mndal,1.98E-25,-1.256339274,0.1,0.474,6.39E-21,-2.388888095,,,,,,,,,,
Magi2,8.59E-42,-1.266104898,0.019,0.482,2.77E-37,-2.405113367,,,,,,,,,,
Nedd4l,6.19E-42,-1.280166026,0.048,0.527,2.00E-37,-2.428669245,,,,,,,,,,
Pkhd1,4.49E-25,-1.29670207,0.032,0.348,1.45E-20,-2.456666585,,,,,,,,,,
Slc5a12,1.36E-34,-1.343803225,0.077,0.505,4.39E-30,-2.538195553,,,,,,,,,,
Nox4,1.43E-36,-1.403933395,0.058,0.496,4.61E-32,-2.646220708,,,,,,,,,,
Trabd2b,6.67E-20,-1.406460269,0.068,0.346,2.15E-15,-2.650859614,,,,,,,,,,
Ptprd,5.43E-33,-1.418453345,0.055,0.467,1.75E-28,-2.672987971,,,,,,,,,,
Pde4d,2.18E-29,-1.42669352,0.048,0.427,7.02E-25,-2.688298836,,,,,,,,,,
Auts2,2.25E-35,-1.448521917,0.01,0.408,7.26E-31,-2.72928285,,,,,,,,,,
Esrrg,5.64E-32,-1.475150918,0.01,0.375,1.82E-27,-2.780127249,,,,,,,,,,
Ghr,2.25E-22,-1.482478456,0.013,0.284,7.25E-18,-2.794283609,,,,,,,,,,
Slc35f3,5.17E-19,-1.681207465,0.006,0.234,1.67E-14,-3.206962457,,,,,,,,,,
Gm26917,4.38E-48,-1.799119283,0.442,0.886,1.41E-43,-3.480077134,,,,,,,,,,
Fut9,1.95E-53,-2.078840952,0.052,0.621,6.30E-49,-4.224676731,,,,,,,,,,
Tex2,4.54E-05,1.411084905,0.216,0.128,1,2.659370719,,,,,,,,,,
Arsb,0.006803728,1.18025187,0.377,0.37,1,2.26616337,,,,,,,,,,
Rasgef1b,0.00050235,1.119144979,0.258,0.185,1,2.172181988,,,,,,,,,,
Itk,3.52E-06,1.06807306,0.494,0.432,0.11361442,2.096631125,,,,,,,,,,
Gm20275,3.39E-05,1.043585488,0.297,0.198,1,2.061344292,,,,,,,,,,
Stk39,3.87E-05,1.027976653,0.365,0.284,1,2.039162366,,,,,,,,,,
Rab27a,9.54E-05,1.019471502,0.348,0.284,1,2.027176215,,,,,,,,,,
Cd6,2.86E-06,0.995311776,0.229,0.125,0.092304935,1.99351129,,,,,,,,,,
Rnf125,1.39E-05,0.97657545,0.261,0.165,0.449923023,1.967788887,,,,,,,,,,
Cd28,2.17E-05,0.975952369,0.19,0.101,0.700831279,1.966939208,,,,,,,,,,
Pde3b,3.65E-05,0.961767705,0.523,0.518,1,1.947694904,,,,,,,,,,
Rab8b,0.000225337,0.943842908,0.419,0.374,1,1.923645436,,,,,,,,,,
Fam107b,2.04E-05,0.923095725,0.574,0.568,0.659556616,1.896179741,,,,,,,,,,
Ifngr1,0.000268384,0.921024128,0.316,0.249,1,1.893458928,,,,,,,,,,
P2ry10,6.62E-05,0.908595608,0.219,0.134,1,1.877217231,,,,,,,,,,
Samsn1,0.00023808,0.894607605,0.239,0.158,1,1.859104163,,,,,,,,,,
Osbpl3,0.014879494,0.859003175,0.374,0.366,1,1.813784649,,,,,,,,,,
Cytip,4.42E-06,0.856708241,0.416,0.339,0.142525865,1.810901707,,,,,,,,,,
Coro2a,0.002989487,0.854624737,0.368,0.333,1,1.808288335,,,,,,,,,,
Itpk1,0.000205181,0.832653409,0.355,0.293,1,1.780957895,,,,,,,,,,
Cd63,2.42E-06,0.829567344,0.381,0.256,0.078220154,1.777152325,,,,,,,,,,
Stk17b,0.000134863,0.827930876,0.516,0.526,1,1.77513762,,,,,,,,,,
Camk4,0.000549885,0.821062627,0.3,0.225,1,1.766706793,,,,,,,,,,
Gm2245,0.003893481,0.81109419,0.252,0.192,1,1.754541644,,,,,,,,,,
Cysltr2,0.000224222,0.805459238,0.171,0.095,1,1.747702031,,,,,,,,,,
Fyb,0.00078564,0.803791415,0.539,0.566,1,1.745682773,,,,,,,,,,
Zc3hav1,7.65E-05,0.800599091,0.545,0.538,1,1.741824283,,,,,,,,,,
Rundc3b,0.000413905,0.797149086,0.152,0.082,1,1.737663929,,,,,,,,,,
Icos,0.041192021,0.79440324,0.129,0.093,1,1.734359821,,,,,,,,,,
Cblb,5.34E-05,0.794093531,0.645,0.667,1,1.733987539,,,,,,,,,,
Dbi,5.33E-05,0.789622092,0.41,0.295,1,1.728621598,,,,,,,,,,
Esyt2,7.33E-06,0.789282498,0.558,0.513,0.236546505,1.728214748,,,,,,,,,,
Etfb,1.57E-05,0.785383421,0.242,0.143,0.50643301,1.723550322,,,,,,,,,,
Ern1,0.794756117,0.78164388,0.132,0.154,1,1.719088574,,,,,,,,,,
Jakmip1,0.003371099,0.77630556,0.29,0.244,1,1.712739285,,,,,,,,,,
Cox6c,2.53E-06,0.774522289,0.416,0.273,0.081515774,1.710623529,,,,,,,,,,
Fth1,0.000125351,0.773992047,0.41,0.3,1,1.709994929,,,,,,,,,,
Nr3c1,0.00027648,0.771514068,0.629,0.67,1,1.707060356,,,,,,,,,,
Entpd1,0.054036465,0.76555912,0.297,0.286,1,1.700028721,,,,,,,,,,
Ndufa4,2.22E-05,0.760795812,0.448,0.363,0.715711389,1.694425037,,,,,,,,,,
Rora,0.052148136,0.741675422,0.29,0.412,1,1.672116564,,,,,,,,,,
Cd86,0.540135393,0.737467634,0.223,0.231,1,1.667246747,,,,,,,,,,
B4galnt1,0.115585895,0.730845319,0.174,0.158,1,1.659611224,,,,,,,,,,
Airn,0.094438853,0.73020328,0.329,0.322,1,1.658872815,,,,,,,,,,
Ndufa5,0.001318469,0.725462042,0.132,0.071,1,1.653430084,,,,,,,,,,
Pde7b,0.735645694,0.725052387,0.152,0.17,1,1.652960657,,,,,,,,,,
4933406I18Rik,0.008567789,0.723796216,0.271,0.229,1,1.651522032,,,,,,,,,,
Rpl24,0.002652047,0.721599089,0.384,0.306,1,1.64900879,,,,,,,,,,
Atp5b,0.000100314,0.715497426,0.397,0.293,1,1.642049281,,,,,,,,,,
Cmip,0.00165552,0.703217994,0.635,0.648,1,1.628132365,,,,,,,,,,
Rpl11,0.000126704,0.702213549,0.319,0.22,1,1.626999209,,,,,,,,,,
Sntb1,0.009474761,0.697444118,0.371,0.332,1,1.621629363,,,,,,,,,,
Selplg,0.026575675,0.697386551,0.3,0.269,1,1.621564658,,,,,,,,,,
Herc4,2.80E-05,0.695703169,0.616,0.632,0.902445231,1.619673669,,,,,,,,,,
Rnf145,0.092099632,0.694458234,0.31,0.317,1,1.618276618,,,,,,,,,,
Fyn,0.005117958,0.694130658,0.571,0.566,1,1.617909217,,,,,,,,,,
Irak2,0.086507374,0.69190799,0.332,0.339,1,1.615418526,,,,,,,,,,
Padi2,0.052645047,0.691048044,0.145,0.112,1,1.614455912,,,,,,,,,,
Zfp36l2,0.06487605,0.685408065,0.294,0.297,1,1.608156783,,,,,,,,,,
Cd226,0.871208082,0.681699921,0.248,0.293,1,1.604028661,,,,,,,,,,
Rinl,0.003367905,0.675983321,0.361,0.33,1,1.597685362,,,,,,,,,,
Gm12216,0.014948679,0.670864122,0.284,0.249,1,1.592026248,,,,,,,,,,
Uqcrq,2.13E-05,0.668248478,0.287,0.176,0.68819082,1.589142478,,,,,,,,,,
Pgm2l1,0.00099486,0.665857347,0.139,0.075,1,1.586510805,,,,,,,,,,
Tox,0.016227735,0.66451628,0.484,0.493,1,1.585036738,,,,,,,,,,
Tnik,0.001150307,0.662335789,0.481,0.438,1,1.582642921,,,,,,,,,,
Spp2,0.000311861,0.661067766,0.148,0.077,1,1.581252506,,,,,,,,,,
Atp5h,0.002442017,0.657919255,0.229,0.159,1,1.577805373,,,,,,,,,,
Dock5,0.049561331,0.654246379,0.21,0.174,1,1.573793635,,,,,,,,,,
Dennd4c,0.162523082,0.649956217,0.348,0.374,1,1.569120576,,,,,,,,,,
Nme2,6.42E-06,0.649842775,0.229,0.123,0.207224217,1.568997197,,,,,,,,,,
Uqcr10,8.09E-05,0.646600761,0.219,0.125,1,1.565475316,,,,,,,,,,
Uqcrb,0.000624198,0.645831042,0.232,0.158,1,1.564640313,,,,,,,,,,
Itpkb,0.000476071,0.644545403,0.555,0.555,1,1.563246626,,,,,,,,,,
Klrk1,0.648882493,0.640413506,0.106,0.128,1,1.558775872,,,,,,,,,,
Neurl3,0.297719999,0.638112497,0.152,0.139,1,1.556291704,,,,,,,,,,
Rpl23,1.36E-05,0.635883026,0.519,0.388,0.438472471,1.553888543,,,,,,,,,,
Atp5l,0.065448322,0.63103243,0.342,0.315,1,1.548672867,,,,,,,,,,
Umod,0.053961836,0.629775104,0.358,0.333,1,1.547323769,,,,,,,,,,
Slamf1,0.050995419,0.628728433,0.123,0.088,1,1.546201597,,,,,,,,,,
Trbc1,0.35879895,0.626860457,0.194,0.192,1,1.544200898,,,,,,,,,,
Ctla4,0.039619197,0.624434508,0.1,0.064,1,1.541606444,,,,,,,,,,
Birc3,0.025196744,0.624141039,0.423,0.421,1,1.541292888,,,,,,,,,,
Ms4a6c,0.013074843,0.617578204,0.423,0.423,1,1.534297453,,,,,,,,,,
Sytl2,0.148476524,0.615355043,0.161,0.137,1,1.531934955,,,,,,,,,,
Trim14,0.101342468,0.615029813,0.319,0.328,1,1.531589647,,,,,,,,,,
Rps14,1.31E-05,0.613907123,0.384,0.249,0.422017996,1.530398244,,,,,,,,,,
Mdfic,0.0898446,0.613444197,0.348,0.348,1,1.529907254,,,,,,,,,,
Jak2,0.106769058,0.610942234,0.3,0.3,1,1.527256345,,,,,,,,,,
Cd247,0.019943886,0.610013711,0.432,0.416,1,1.526273715,,,,,,,,,,
Cox5a,0.044741704,0.601337473,0.274,0.245,1,1.517122387,,,,,,,,,,
Fam129a,0.279276703,0.600910596,0.258,0.253,1,1.516673554,,,,,,,,,,
Ndufb8,0.001979781,0.600667576,0.194,0.128,1,1.516418094,,,,,,,,,,
Pde7a,0.002679523,0.599668902,0.658,0.696,1,1.515368751,,,,,,,,,,
Pecam1,0.131703155,0.598541748,0.394,0.407,1,1.51418528,,,,,,,,,,
Mirt1,0.016839714,0.597072386,0.142,0.097,1,1.512643891,,,,,,,,,,
Polr2a,0.09904605,0.595886613,0.316,0.304,1,1.511401136,,,,,,,,,,
Cd84,0.013473293,0.595077019,0.352,0.328,1,1.510553225,,,,,,,,,,
Uqcrh,0.038656933,0.592993295,0.303,0.269,1,1.508373066,,,,,,,,,,
Icam1,0.089899831,0.590196962,0.177,0.15,1,1.505452264,,,,,,,,,,
Prex1,0.040363973,0.590174181,0.419,0.456,1,1.505428492,,,,,,,,,,
Fam102a,0.13742104,0.586454565,0.229,0.211,1,1.501552132,,,,,,,,,,
Aldoa,0.001235017,0.583816738,0.239,0.168,1,1.4988092,,,,,,,,,,
Bcl2l11,0.959118597,0.583081906,0.174,0.196,1,1.49804598,,,,,,,,,,
Il2rb,0.405061448,0.580519717,0.194,0.196,1,1.495387851,,,,,,,,,,
Ubash3a,0.121438318,0.577346138,0.213,0.194,1,1.492101975,,,,,,,,,,
Atp5j2,0.000596014,0.576229627,0.258,0.178,1,1.490947675,,,,,,,,,,
Rpl37,0.000220335,0.575399543,0.394,0.273,1,1.490090075,,,,,,,,,,
Aak1,0.020455003,0.575304239,0.603,0.645,1,1.489991643,,,,,,,,,,
Dapk2,0.115783425,0.569596327,0.132,0.106,1,1.484108252,,,,,,,,,,
Cyp4a14,0.001552512,0.569373737,0.116,0.059,1,1.48387929,,,,,,,,,,
Vav3,0.777532165,0.568725021,0.277,0.317,1,1.483212206,,,,,,,,,,
Crybg1,0.300940808,0.567553697,0.197,0.189,1,1.482008474,,,,,,,,,,
Sh2d2a,0.028843537,0.567503862,0.106,0.07,1,1.481957282,,,,,,,,,,
Trim25,0.949819836,0.565013976,0.155,0.167,1,1.479401841,,,,,,,,,,
Rbl2,0.031971628,0.565001392,0.316,0.295,1,1.479388937,,,,,,,,,,
Cd3g,0.326531624,0.564668219,0.113,0.101,1,1.479047329,,,,,,,,,,
Gata3,0.069583819,0.564326734,0.116,0.084,1,1.478697281,,,,,,,,,,
Mxd1,0.005621818,0.563246658,0.11,0.062,1,1.477590666,,,,,,,,,,
Myo1f,0.396195338,0.5603915,0.323,0.352,1,1.47466934,,,,,,,,,,
Fau,0.003341139,0.55837457,0.3,0.212,1,1.472609149,,,,,,,,,,
Samhd1,0.601936659,0.552138228,0.458,0.544,1,1.466257236,,,,,,,,,,
Malt1,0.004066556,0.550622562,0.548,0.57,1,1.464717625,,,,,,,,,,
Skap1,0.000974356,0.548522081,0.61,0.581,1,1.462586632,,,,,,,,,,
Dhx40,0.462392332,0.547896364,0.197,0.2,1,1.461952425,,,,,,,,,,
Smad7,0.165057019,0.547576631,0.31,0.308,1,1.461628461,,,,,,,,,,
Ripor2,0.043082841,0.544147305,0.7,0.813,1,1.458158255,,,,,,,,,,
Gpr171,0.003062915,0.541259131,0.113,0.06,1,1.455242045,,,,,,,,,,
Apobec3,0.003915669,0.541240141,0.506,0.516,1,1.455222889,,,,,,,,,,
Rpl18,0.000501256,0.540791251,0.219,0.132,1,1.454770172,,,,,,,,,,
Sp100,0.000150609,0.54017682,0.648,0.674,1,1.454150731,,,,,,,,,,
Rps20,0.004898725,0.538319603,0.365,0.278,1,1.452279971,,,,,,,,,,
Wfdc15b,0.128116391,0.53756467,0.135,0.11,1,1.451520221,,,,,,,,,,
Kcnq5,0.571678587,0.534515455,0.455,0.504,1,1.448455593,,,,,,,,,,
Cox7b,0.074801109,0.534238145,0.335,0.319,1,1.448177202,,,,,,,,,,
Unc5cl,0.824014794,0.533592409,0.152,0.163,1,1.447529158,,,,,,,,,,
Wfdc2,7.75E-06,0.53249975,0.194,0.095,0.249927057,1.446433253,,,,,,,,,,
Tnfrsf1b,0.056607042,0.528630883,0.152,0.119,1,1.442559557,,,,,,,,,,
Mif,5.28E-05,0.527886927,0.161,0.077,1,1.441815863,,,,,,,,,,
Zfp831,0.00730303,0.527246023,0.397,0.374,1,1.441175492,,,,,,,,,,
Ccr5,0.846153387,0.527144842,0.135,0.158,1,1.441074421,,,,,,,,,,
Rnasek,0.032667859,0.526527346,0.171,0.13,1,1.44045775,,,,,,,,,,
Itga1,0.954376377,0.526152546,0.232,0.262,1,1.440083581,,,,,,,,,,
Itgav,0.252650705,0.5254813,0.365,0.377,1,1.439413705,,,,,,,,,,
Srgn,0.05943678,0.525175592,0.281,0.258,1,1.439108725,,,,,,,,,,
Txn1,0.584915231,0.524714393,0.213,0.225,1,1.438648746,,,,,,,,,,
Atp5o,0.137928257,0.521406207,0.158,0.132,1,1.435353617,,,,,,,,,,
2310001H17Rik,0.140781483,0.520731308,0.206,0.185,1,1.43468231,,,,,,,,,,
Kif13b,0.136766763,0.519847689,0.432,0.471,1,1.433803868,,,,,,,,,,
Trim30a,0.384050814,0.519035287,0.339,0.364,1,1.432996699,,,,,,,,,,
Oprm1,0.091204385,0.518384278,0.271,0.256,1,1.432350213,,,,,,,,,,
Bcl11b,0.129815497,0.517989043,0.423,0.441,1,1.431957866,,,,,,,,,,
Kdm2b,0.085141274,0.517466678,0.274,0.253,1,1.431439482,,,,,,,,,,
Srgap3,0.20784698,0.516558003,0.126,0.104,1,1.430538181,,,,,,,,,,
Cisd1,0.350151512,0.51650945,0.174,0.165,1,1.430490037,,,,,,,,,,
Cd200r1,0.412580689,0.51535195,0.139,0.132,1,1.42934279,,,,,,,,,,
St6galnac3,0.172163633,0.514076633,0.487,0.52,1,1.428079834,,,,,,,,,,
Epb41,0.31266939,0.510781547,0.539,0.645,1,1.424821851,,,,,,,,,,
Gbp8,0.479481819,0.509914676,0.171,0.174,1,1.423965977,,,,,,,,,,
Rcbtb2,0.623757795,0.505890932,0.148,0.152,1,1.420000003,,,,,,,,,,
Ndufb4,0.021035357,0.504677869,0.171,0.125,1,1.418806523,,,,,,,,,,
Ero1lb,0.887776657,0.504633862,0.2,0.223,1,1.418763246,,,,,,,,,,
Zfp53,0.615237867,0.504466887,0.21,0.229,1,1.418599051,,,,,,,,,,
Gimap6,0.290482241,0.504410009,0.339,0.374,1,1.418543123,,,,,,,,,,
Ccl5,0.339726481,0.504254566,0.171,0.231,1,1.418390291,,,,,,,,,,
Pitpnc1,6.18E-05,0.503298152,0.845,0.903,1,1.417450301,,,,,,,,,,
Cd5,0.056467346,0.503042547,0.171,0.136,1,1.417199191,,,,,,,,,,
Cox6b1,0.116879122,0.502833375,0.281,0.266,1,1.41699373,,,,,,,,,,
Plekha5,0.447872792,0.502410468,0.348,0.379,1,1.416578418,,,,,,,,,,
Il10ra,0.195958355,0.501780731,0.194,0.183,1,1.415960216,,,,,,,,,,
Bsg,0.09303935,0.501258408,0.181,0.15,1,1.415447665,,,,,,,,,,
Cdc42se2,0.017027613,0.501150308,0.481,0.502,1,1.415341611,,,,,,,,,,
Cox5b,0.011659199,0.500792487,0.203,0.147,1,1.414990618,,,,,,,,,,
Vps54,0.087009259,0.500252776,0.519,0.586,1,1.41446137,,,,,,,,,,
Ndfip1,0.101942706,0.499334076,0.494,0.529,1,1.413560936,,,,,,,,,,
Hint1,0.001286556,0.499270942,0.187,0.114,1,1.413499077,,,,,,,,,,
Slc25a39,1.73E-06,0.498624495,0.106,0.029,0.055818626,1.412865855,,,,,,,,,,
Rps21,0.005353494,0.498535017,0.342,0.258,1,1.412778229,,,,,,,,,,
Ttn,0.137091174,0.498251159,0.129,0.099,1,1.412500286,,,,,,,,,,
Abtb2,0.666090371,0.496804376,0.239,0.288,1,1.411084493,,,,,,,,,,
Sla,0.039238445,0.496081838,0.374,0.377,1,1.410377963,,,,,,,,,,
Ypel2,0.917543931,0.495935169,0.158,0.168,1,1.410234586,,,,,,,,,,
Romo1,0.001606971,0.493549899,0.113,0.057,1,1.407904912,,,,,,,,,,
Rpl32,0.004423543,0.493409143,0.323,0.242,1,1.407767556,,,,,,,,,,
Atp5a1,0.054106133,0.493224821,0.377,0.339,1,1.407587709,,,,,,,,,,
Gm36975,0.775853285,0.49276646,0.284,0.306,1,1.407140573,,,,,,,,,,
Rpl15,0.000249056,0.492131123,0.248,0.15,1,1.406521029,,,,,,,,,,
Igf2r,0.108038257,0.488764838,0.19,0.161,1,1.403242977,,,,,,,,,,
Sqstm1,0.097902189,0.488726638,0.177,0.147,1,1.403205822,,,,,,,,,,
Fbxl20,0.148521042,0.488235153,0.319,0.328,1,1.40272787,,,,,,,,,,
Plcd3,0.01712258,0.487400157,0.11,0.068,1,1.401916242,,,,,,,,,,
Cd81,0.188231985,0.486163529,0.226,0.212,1,1.400715083,,,,,,,,,,
Ebf1,0.018456176,0.484656992,0.39,0.56,1,1.399253147,,,,,,,,,,
Ndufab1,0.073516589,0.480991969,0.203,0.174,1,1.395702995,,,,,,,,,,
Inpp5d,7.17E-06,0.479041017,0.726,0.766,0.231209432,1.393816866,,,,,,,,,,
Ndufa6,0.010850352,0.478600198,0.148,0.097,1,1.393391047,,,,,,,,,,
Plek,0.958959529,0.477107352,0.197,0.222,1,1.391949964,,,,,,,,,,
Selenow,0.049032912,0.476416579,0.145,0.11,1,1.391283648,,,,,,,,,,
Abcg1,0.203449826,0.475934282,0.152,0.136,1,1.390818616,,,,,,,,,,
H3f3a,0.300817715,0.47542058,0.39,0.43,1,1.390323473,,,,,,,,,,
Gm15472,0.023721038,0.474725233,0.165,0.119,1,1.389653529,,,,,,,,,,
Btbd11,0.833869865,0.474670268,0.268,0.321,1,1.389600586,,,,,,,,,,
Atp8a1,0.0525383,0.473175298,0.432,0.458,1,1.38816138,,,,,,,,,,
Sorl1,0.024430965,0.472722285,0.532,0.571,1,1.387725559,,,,,,,,,,
Gm31243,0.2278798,0.471729422,0.277,0.366,1,1.386770855,,,,,,,,,,
Serpinb9,0.060100199,0.471452132,0.106,0.075,1,1.38650434,,,,,,,,,,
Zdhhc20,0.028367546,0.47071396,0.432,0.436,1,1.3857951,,,,,,,,,,
Sp110,0.249200626,0.470626453,0.313,0.344,1,1.385711047,,,,,,,,,,
B4galt1,0.119967585,0.46937523,0.4,0.414,1,1.384509766,,,,,,,,,,
Crem,0.085460092,0.468733504,0.152,0.117,1,1.383894058,,,,,,,,,,
Cd96,0.159886489,0.468560873,0.132,0.11,1,1.383728473,,,,,,,,,,
Spn,0.65688063,0.46508242,0.126,0.128,1,1.380396212,,,,,,,,,,
Arhgap31,0.838881911,0.462985217,0.181,0.198,1,1.378391029,,,,,,,,,,
Sipa1l1,0.210437825,0.462543216,0.513,0.573,1,1.377968794,,,,,,,,,,
Myl12b,0.405387458,0.462336186,0.242,0.251,1,1.377771066,,,,,,,,,,
Atp2b4,0.367671052,0.462321651,0.171,0.163,1,1.377757185,,,,,,,,,,
4930523C07Rik,0.383935489,0.460634535,0.358,0.399,1,1.376146951,,,,,,,,,,
Pgk1,0.056347074,0.460273448,0.171,0.136,1,1.375802563,,,,,,,,,,
Zadh2,0.212083189,0.458178735,0.155,0.137,1,1.373806423,,,,,,,,,,
Btg2,0.106343325,0.45816199,0.171,0.139,1,1.373790478,,,,,,,,,,
Hipk1,0.891568294,0.458018074,0.348,0.423,1,1.373653443,,,,,,,,,,
Ndufb7,0.000110213,0.456767682,0.132,0.059,1,1.372463405,,,,,,,,,,
Slc25a4,0.682767464,0.456328539,0.187,0.192,1,1.372045704,,,,,,,,,,
Cnbp,0.949112326,0.455880497,0.258,0.306,1,1.371619669,,,,,,,,,,
Gfod1,0.677258962,0.455134161,0.168,0.176,1,1.370910285,,,,,,,,,,
Arid5a,0.176015763,0.454421895,0.145,0.126,1,1.370233626,,,,,,,,,,
Gimap4,0.006154866,0.453410584,0.513,0.548,1,1.369273447,,,,,,,,,,
Ttc39b,0.379222424,0.453317808,0.416,0.48,1,1.369185394,,,,,,,,,,
Rpl7,0.012903416,0.452863644,0.232,0.17,1,1.368754439,,,,,,,,,,
Rab43,0.373178366,0.451445023,0.261,0.273,1,1.367409186,,,,,,,,,,
Adam19,0.161978145,0.450705678,0.426,0.465,1,1.366708603,,,,,,,,,,
Rpl36,9.35E-06,0.450604706,0.229,0.115,0.301801906,1.366612953,,,,,,,,,,
Hspa8,0.004513219,0.450106016,0.439,0.335,1,1.366140644,,,,,,,,,,
Ndufb9,0.444398546,0.449492403,0.235,0.234,1,1.365559715,,,,,,,,,,
Pgap1,0.554723169,0.449212508,0.171,0.172,1,1.36529481,,,,,,,,,,
Fam149b,0.495507825,0.448556754,0.187,0.187,1,1.364674378,,,,,,,,,,
Hip1r,0.648404846,0.448227424,0.229,0.245,1,1.364362894,,,,,,,,,,
Tmem154,0.375033452,0.447186665,0.21,0.203,1,1.363378998,,,,,,,,,,
Saraf,0.367571044,0.446505498,0.194,0.19,1,1.362735432,,,,,,,,,,
Pacs1,0.31270855,0.446190165,0.435,0.502,1,1.362437609,,,,,,,,,,
Slc9a9,0.036126937,0.446100395,0.594,0.634,1,1.362352835,,,,,,,,,,
Zfp652,0.735762181,0.44400202,0.339,0.397,1,1.360372757,,,,,,,,,,
Rps15,0.001034288,0.443242788,0.368,0.258,1,1.359657036,,,,,,,,,,
Tapbp,0.355722203,0.443120606,0.158,0.15,1,1.359541892,,,,,,,,,,
Ddx60,0.274491566,0.443073943,0.142,0.128,1,1.359497919,,,,,,,,,,
Adgre5,0.484117671,0.442841051,0.294,0.322,1,1.359278475,,,,,,,,,,
Trip4,0.755612174,0.442590509,0.21,0.227,1,1.35904244,,,,,,,,,,
Tmem256,8.72E-06,0.442105232,0.126,0.046,0.281369559,1.358585378,,,,,,,,,,
Prdx6,0.497585842,0.441007312,0.148,0.143,1,1.35755186,,,,,,,,,,
Crlf3,0.074849144,0.438703264,0.49,0.555,1,1.35538552,,,,,,,,,,
Crbn,0.34755858,0.436641188,0.194,0.189,1,1.353449622,,,,,,,,,,
Lncpint,0.004297549,0.433886589,0.794,0.863,1,1.350867888,,,,,,,,,,
Isy1,0.162624471,0.433735994,0.106,0.084,1,1.350726886,,,,,,,,,,
Tg,0.451775414,0.433512203,0.232,0.245,1,1.350517377,,,,,,,,,,
Ndufa7,0.072243765,0.433151129,0.168,0.136,1,1.350179415,,,,,,,,,,
AU020206,0.053489928,0.431932623,0.558,0.614,1,1.34903953,,,,,,,,,,
Ndufc1,0.00754838,0.430092363,0.2,0.141,1,1.347319831,,,,,,,,,,
Araf,0.182089985,0.429693201,0.165,0.143,1,1.346947108,,,,,,,,,,
Kdm7a,0.534519216,0.429026469,0.294,0.374,1,1.34632477,,,,,,,,,,
Mlxip,0.360044662,0.42870365,0.361,0.403,1,1.346023548,,,,,,,,,,
Zyg11b,0.063822265,0.428025481,0.332,0.321,1,1.34539097,,,,,,,,,,
Trim12a,0.27030623,0.427604329,0.352,0.383,1,1.344998281,,,,,,,,,,
Prdx5,0.947324229,0.426893281,0.277,0.308,1,1.344335547,,,,,,,,,,
